,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank
5974,53,17,0,3,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,7,4,3,3,3,9,9,7,5.0,6.0,4.6,0,0,0,0,0,0,200,0.955,0.045,0,0,0,0.333333333,0,0.222222222,0,0,100.0,0,94.44444444,5.555555556,0,0,0,50.0,0,0,0,0,1,0,299,8833,6042,0,0,5
7211,40,14,0,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0.025,0.0,0,0,0,0,0,2,1,0,0,0,2,0,5,0,3,3,3,7,6,7,4.6,4.5,4.666666667,0,1,0,0,0,0,133,0.766917293,0.233082707,0,1,0,0.0,0,0.0,0,1,58.06451613,0,100.0,0.0,0,0,0,62.5,0,0,0,0,1,0,1558,9399,15,0,1,9
10012,27,18,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,2,6,3,3,0,11,11,0,7.0,7.0,0.0,0,0,0,0,0,0,331,0.945619335,0.054380665,0,2,0,0.111111111,0,0.111111111,0,1,85.71428571,0,84.61538462,15.38461538,0,0,0,61.53846154,0,0,0,1,1,1,0,-1,201422,0,0,2
7942,46,38,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.065217391,0.078947368,0,0,0,0,0,2,0,0,0,0,0,0,2,4,13,13,0,20,20,0,16.5,16.5,0.0,0,0,0,0,0,0,31,0.225806452,0.774193548,0,0,0,0.125,0,0.166666667,0,0,66.66666667,0,0.0,100.0,0,0,0,4.347826087,0,0,0,1,1,0,644,1546,4669,0,1,2
1808,71,37,0,5,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0.0845070419999999,0.162162162,0,0,1,0,0,3,0,0,1,0,0,0,9,1,1,1,3,17,7,17,5.666666667,4.666666667,7.666666667,0,0,0,0,0,0,21,0.19047619,0.80952381,0,1,0,0.294117647,0,0.0,0,1,0.0,0,20.0,80.0,0,0,0,25.0,0,0,0,1,1,0,217,5626,0,0,1,5
4113,43,11,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,1,0,0,2,0,0,0,0,0,0,5,0,4,8,4,8,8,6,5.8,8.0,5.25,1,0,0,0,0,0,12,0.25,0.75,0,3,0,0.0,0,0.0,0,1,25.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,-1,0,0,1,1
6438,41,24,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,1,0,3,4,3,3,9,13,13,9,8.333333332999999,8.0,9.0,0,0,0,0,0,0,289,0.923875433,0.076124567,0,1,0,0.363636364,0,0.0,0,1,89.18918919,0,95.0,5.0,0,0,0,34.782608700000004,0,0,0,1,1,0,665,8466,16226,0,0,5
3487,20,12,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,5,5,0,4.0,4.0,0.0,0,0,0,0,0,0,2,1.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,100.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,-1,0,0,0,0
7229,40,31,0,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.075,0.096774194,0,0,0,0,0,3,1,0,0,0,0,0,4,4,3,3,0,12,12,0,6.0,6.0,0.0,0,0,0,0,0,0,28,0.25,0.75,0,0,0,0.142857143,0,0.142857143,0,0,100.0,0,0.0,0.0,0,0,0,4.545454545,0,0,0,1,1,0,162,7142,8441470,1,1,1
8115,35,27,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,3,0,19,19,0,11.0,11.0,0.0,0,0,0,0,0,0,392,0.971938776,0.028061224,0,0,0,0.272727273,0,0.181818182,0,1,66.66666667,0,0.0,100.0,0,0,0,98.59649123,0,0,0,1,1,0,293,3360,9585,0,0,2
6412,68,48,0,3,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,7,4,3,5,3,11,11,8,7.285714286,8.0,5.5,0,0,0,0,0,0,12,0.25,0.75,0,1,0,0.0,0,0.0,0,1,16.66666667,0,0.0,100.0,0,0,0,0.0,0,0,0,1,0,0,286,5193,0,0,1,0
3287,43,18,0,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,0,5,3,3,3,4,10,10,5,5.4,6.5,4.666666667,0,0,0,0,0,0,6,0.333333333,0.666666667,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0,218,3800,0,0,0,2
9463,33,24,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,1,0,0,0,2,3,3,3,0,16,16,0,9.5,9.5,0.0,0,0,0,0,0,0,23,0.391304348,0.608695652,0,1,0,0.0,0,0.071428571,1,1,0.0,0,0.0,0.0,0,0,0,60.0,0,0,0,1,1,0,524,3494,3399200,0,0,3
9186,36,27,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,11,11,0,11,11,0,11.0,11.0,0.0,1,0,0,0,0,2,47,0.0,1.0,0,1,0,0.0,0,0.319148936,0,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,242,1950,341948,0,0,1
8990,78,34,1,2,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.320512821,0.117647059,0,0,0,0,0,2,0,0,0,0,1,0,7,7,2,2,3,32,8,32,8.714285713999999,5.2,17.5,0,0,0,0,0,0,103,0.932038835,0.067961165,0,1,0,0.285714286,0,0.0,0,1,81.81818182,0,100.0,0.0,0,0,0,0.0,0,0,0,1,1,0,242,7062,491854,1,1,1
2605,20,9,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.05,0.0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,6,3,6,6,3,4.5,6.0,3.0,0,0,0,0,0,0,7,0.857142857,0.142857143,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,50.0,0,0,0,1,0,0,96,3922,0,0,1,2
5297,37,29,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.081081081,0.103448276,0,0,0,0,0,3,0,0,1,0,0,0,4,2,1,1,0,12,12,0,5.5,5.5,0.0,0,0,0,0,0,0,21,0.19047619,0.80952381,0,1,0,0.176470588,0,0.0,0,1,0.0,0,20.0,80.0,0,0,0,25.0,0,0,0,1,1,0,228,5616,0,0,1,5
1392,78,23,0,2,4,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0.064102564,0.0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,3,5,3,13,13,10,6.444444444,9.0,5.714285714,0,1,0,0,0,0,215,0.76744186,0.23255814,0,2,0,0.1,0,0.0,0,1,20.0,0,4.166666667,95.83333333,0,0,0,83.33333333,0,0,0,1,1,0,321,4061,99,0,0,5
8116,114,15,0,2,1,0,1,0,0,1,2,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0.043859649,0.0,0,0,0,0,0,2,1,0,0,0,0,0,13,3,1,4,1,29,6,29,6.923076922999999,5.0,7.272727272999999,1,1,0,0,0,0,28,0.357142857,0.642857143,0,4,0,0.0,0,0.0,0,1,33.33333333,0,0.0,100.0,0,0,0,0.0,0,0,0,1,1,0,2975,8347,1,0,1,10
752,86,17,0,3,1,0,1,0,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0.058139535,0.0,0,0,0,0,0,3,1,0,0,0,0,0,9,1,2,4,2,19,8,19,7.333333333,6.0,7.714285714,0,0,0,0,0,0,28,0.857142857,0.142857143,0,1,0,0.0,0,0.0,0,1,66.66666667,0,100.0,0.0,0,0,0,100.0,0,0,0,1,0,0,231,134,0,0,1,0
6365,126,38,0,2,1,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,0,7,7,2,12,2,53,21,53,15.28571429,16.5,14.8,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,43,322,126941,0,1,0
11179,31,14,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,8,10,8,10,10,8,9.0,10.0,8.0,0,0,0,0,0,0,86,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,100.0,0,0,0,1,0,0,2470,7026,150495,0,0,5
9551,29,21,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,3,0,13,13,0,8.0,8.0,0.0,0,0,0,0,0,0,73,0.835616438,0.1643835619999999,0,1,0,0.0,0,0.166666667,0,1,54.54545455,0,100.0,0.0,0,0,0,33.33333333,0,0,0,1,1,0,167,-1,509584,0,0,1
3215,59,21,0,3,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,1,0,0,0,9,5,2,2,4,7,5,7,4.444444444,3.5,5.2,0,0,0,0,0,0,14,0.428571429,0.571428571,0,0,0,0.25,0,0.125,0,0,50.0,0,0.0,0.0,0,0,0,28.57142857,0,0,0,1,0,0,269,4478,625153,0,0,5
11331,27,18,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0,0,3,3,2,2,0,8,8,0,4.333333333,4.333333333,0.0,0,0,0,0,0,0,1289,0.997672614,0.002327386,0,0,0,0.0,0,0.0,0,0,96.875,0,100.0,0.0,0,0,0,0.0,0,0,0,0,1,0,-1,-1,0,0,0,1
9770,81,33,0,2,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,1,0,0,0,2,0,8,2,2,29,2,29,29,8,7.875,29.0,4.857142857,2,0,0,0,0,0,12,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,1,0,276,1184,0,0,1,1
1777,29,20,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,3,0,9,9,0,6.0,6.0,0.0,0,0,0,0,0,0,47,0.8297872340000001,0.170212766,0,0,0,0.25,0,0.375,0,1,80.0,0,100.0,0.0,0,0,0,16.66666667,0,0,0,0,0,0,249,-1,0,0,1,0
17,50,21,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.06,0.0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,4,4,5,12,12,8,7.0,8.0,6.333333333,0,0,0,0,0,0,23,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,1,0,1337,2316,0,0,1,0
1770,227,22,1,4,0,0,1,2,0,3,1,0,0,5,0,1,0,2,0,0,1,0,0,0,0,0.317180617,0.0,0,0,0,0,0,3,0,0,0,0,0,0,14,17,3,3,3,64,15,64,14.5,9.0,15.41666667,1,0,0,0,0,0,5,0.6,0.4,0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,0,4873,0,0,1,2
1888,33,14,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.212121212,0.214285714,0,0,0,0,1,2,0,0,0,0,0,0,3,1,3,3,10,10,5,10,6.0,4.0,10.0,0,0,0,0,1,0,8,0.125,0.875,0,1,0,0.0,0,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,2430,1953,4365,0,1,3
6691,88,21,1,2,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,2,0,0,1,0.261363636,0.0,0,0,0,0,0,2,0,0,0,0,0,0,6,2,2,15,2,32,15,32,11.5,15.0,10.8,0,0,0,0,0,0,64,0.078125,0.921875,0,11,0,0.118644068,0,0.0,0,0,0.0,0,0.0,100.0,0,0,0,27.27272727,0,0,1,1,1,0,812,3206,0,0,1,0
1642,50,15,0,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.12,0.0,0,0,0,0,0,2,0,0,1,0,1,0,7,3,2,3,2,7,7,7,4.571428571,5.0,4.4,0,1,0,0,0,0,483,0.83436853,0.16563147,0,2,0,0.05,0,0.025,0,1,45.0,0,59.21052632,40.78947368,0,0,0,46.42857143,0,0,0,0,0,0,63,9280,126,0,1,7
9746,73,13,0,2,9,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,12,3,1,3,1,8,5,8,4.166666667,4.0,4.2,0,0,0,0,0,0,17,0.0,1.0,0,1,0,0.0,0,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,1346,7419,285,0,0,7
2316,33,14,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,10,3,10,10,7,6.666666667,10.0,5.0,0,0,0,0,0,0,100,0.56,0.44,0,0,0,0.4318181820000001,0,0.272727273,1,0,100.0,0,100.0,0.0,0,0,0,23.21428571,0,0,0,1,0,0,-1,-1,1888375,0,0,5
3022,60,19,0,3,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,1,4,1,10,10,8,5.25,7.0,4.666666667,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,14,5465,616449,0,1,5
9764,54,20,0,3,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,3,3,4,12,12,9,6.166666667,7.5,5.5,0,0,0,0,0,0,79,0.759493671,0.240506329,0,0,0,0.368421053,0,0.052631579,0,0,0.0,0,100.0,0.0,0,0,0,0.0,0,0,0,0,1,0,3123,6739,10600,0,0,6
132,33,14,0,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,1,0,0,1,0,5,3,1,3,1,5,4,5,3.0,3.5,2.666666667,1,0,0,0,0,0,145,0.944827586,0.055172414,0,1,0,0.0,0,0.0,0,1,91.89189189,0,92.85714286,7.142857143,0,0,0,87.5,0,0,0,1,0,1,0,5111,5692030,0,1,1
6386,243,60,1,5,5,0,1,2,0,3,1,0,0,3,0,1,0,2,0,0,0,1,0,0,1,0.349794239,0.016666667,0,0,0,0,0,3,0,0,0,0,1,0,17,15,2,2,3,64,9,64,12.58823529,5.875,18.55555556,2,0,0,0,0,0,3,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,0,1658,0,0,1,2
3012,50,28,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,4,4,3,3,5,20,20,8,9.0,11.5,6.5,0,0,0,0,0,0,201,0.915422886,0.084577114,0,0,0,0.470588235,0,0.058823529,0,0,100.0,0,85.71428571,14.28571429,0,0,0,58.97435897,0,0,0,1,1,0,393,5086,53314,0,0,5
9124,98,22,0,4,1,0,1,2,0,3,0,0,0,4,0,1,0,2,0,0,0,0,0,0,1,0.030612245,0.0,0,0,0,0,0,3,1,0,0,0,0,0,12,0,1,5,1,16,12,16,6.25,8.5,5.8,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,1107,6198,0,0,1,1
8851,169,17,1,1,1,0,1,2,0,5,0,0,4,7,0,1,0,0,0,0,0,0,0,0,1,0.159763314,0.0,0,0,0,0,0,1,1,0,0,0,1,0,15,15,2,14,2,43,14,43,9.4,14.0,9.071428571,2,0,0,0,0,0,17,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,0,0,0,-1,0,0,1,1
4995,39,20,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,3,1,4,16,4,16,16,6,8.666666667000001,16.0,5.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,936,160,6030823,0,1,0
9161,28,19,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,11,11,0,7.0,7.0,0.0,0,0,0,0,0,0,74,0.351351351,0.648648649,0,2,0,0.0625,0,0.020833333,0,1,0.0,0,21.05263158,78.94736842,0,0,0,35.71428571,0,0,0,1,1,0,2584,4720,2575,0,0,6
1095,83,15,0,3,3,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,3,1,0,0,0,3,0,10,3,3,3,4,9,7,9,6.3,5.0,6.625,0,0,0,0,0,0,395,0.979746835,0.020253165,0,0,0,0.375,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,88.73239437,0,0,0,0,0,0,5,8395,27235,0,1,5
4688,40,32,0,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,6,6,0,7,7,0,6.5,6.5,0.0,0,0,0,0,0,0,15,0.466666667,0.533333333,0,2,0,0.0,0,0.0,0,1,0.0,0,0.0,100.0,0,0,0,100.0,0,0,0,0,0,1,0,75,0,0,1,0
